NIVEL_DETALLE,SECTOR_NOMBRE,PLIEGO,EJECUTORA,TIPO_ACT_PROY_NOMBRE,GENERICA,FUENTE_FINANCIAMIENTO,PRODUCTO_PROYECTO,PROGRAMA_PPTO,pim,certificado,comp_anual,comprometido,devengado,FECHA_ACTUALIZACION_ARCHIVO
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,"0137. DESARROLLO DE LA CIENCIA, TECNOLOGIA E INNOVACION TECNOLOGICA",4571015.0,3387467.9300000006,3362544.92,2570540.4099999997,2210460.9799999995,2026-08-23 08:44:54
Ranking Sectores,AGRARIO Y DE RIEGO,,,ACTIVIDAD,,,,,2009619437.0,1540075480.9699998,1437120325.709996,1185140311.8499913,1026415788.8199912,2026-08-23 08:44:54
Ranking Sectores,AGRARIO Y DE RIEGO,,,PROYECTO,,,,,871318761.0,776120206.4100008,722211944.0999997,528172947.86000013,448660815.7700001,2026-08-23 08:44:54
Ranking Sectores,AMBIENTAL,,,ACTIVIDAD,,,,,818300324.0,748627696.9500003,701062224.1699998,545341825.1599958,463593147.6699959,2026-08-23 08:44:54
Ranking Sectores,AMBIENTAL,,,PROYECTO,,,,,199343412.0,184987720.22000003,170382590.74000004,164192363.01,122859245.07,2026-08-23 08:44:54
Ranking Sectores,COMERCIO EXTERIOR Y TURISMO,,,ACTIVIDAD,,,,,572967221.0,523498115.85,468583790.76000005,434231491.6999999,306612658.5100002,2026-08-23 08:44:54
Ranking Sectores,COMERCIO EXTERIOR Y TURISMO,,,PROYECTO,,,,,98653991.0,96827771.71999998,96806971.86999999,96546008.66,58656847.94000001,2026-08-23 08:44:54
Ranking Sectores,CONGRESO DE LA REPUBLICA,,,ACTIVIDAD,,,,,1857734877.0,1514177873.5699987,1474767586.3999999,1006571118.9699998,961146684.5299999,2026-08-23 08:44:54
Ranking Sectores,CONGRESO DE LA REPUBLICA,,,PROYECTO,,,,,29185578.0,29039157.740000002,27959026.91,26542778.279999997,24702071.470000003,2026-08-23 08:44:54
Ranking Sectores,CONTRALORIA GENERAL,,,ACTIVIDAD,,,,,1031091886.0,966575053.5700006,950810644.3600003,617162247.7599988,555058060.1799989,2026-08-23 08:44:54
Ranking Sectores,CONTRALORIA GENERAL,,,PROYECTO,,,,,49437807.0,39535362.59000001,33949572.0,33949572.0,17691346.02,2026-08-23 08:44:54
Ranking Sectores,CULTURA,,,ACTIVIDAD,,,,,654311840.0,607624113.5000002,560633962.5300001,421960872.1099996,369773636.7399995,2026-08-23 08:44:54
Ranking Sectores,CULTURA,,,PROYECTO,,,,,78100224.0,77481567.42,76748773.36000001,64316623.44000001,41576016.61,2026-08-23 08:44:54
Ranking Sectores,DEFENSA,,,ACTIVIDAD,,,,,9951686317.0,9594036860.810001,9297350203.63,6397168437.140038,6063833695.97003,2026-08-23 08:44:54
Ranking Sectores,DEFENSA,,,PROYECTO,,,,,2651091116.0,2621472015.91,2224079322.85,2204596331.5,2127289606.56,2026-08-23 08:44:54
Ranking Sectores,DEFENSORIA DEL PUEBLO,,,ACTIVIDAD,,,,,105514657.0,102860079.55,101830820.64,65973340.70999998,62587797.97999997,2026-08-23 08:44:54
Ranking Sectores,DEFENSORIA DEL PUEBLO,,,PROYECTO,,,,,3017657.0,2922896.23,2194327.74,2188377.8499999996,1582562.78,2026-08-23 08:44:54
Ranking Sectores,DESARROLLO E INCLUSION SOCIAL,,,ACTIVIDAD,,,,,7423584137.0,7204106704.1399975,6986946962.459994,5749816666.480009,4564069751.960013,2026-08-23 08:44:54
Ranking Sectores,DESARROLLO E INCLUSION SOCIAL,,,PROYECTO,,,,,49322887.0,47261651.72000001,13907823.56,13892723.08,12273041.05,2026-08-23 08:44:54
Ranking Sectores,ECONOMIA Y FINANZAS,,,ACTIVIDAD,,,,,46278607111.0,41486926671.21001,41072781080.36991,32146484600.989983,31644960482.090073,2026-08-23 08:44:54
Ranking Sectores,ECONOMIA Y FINANZAS,,,PROYECTO,,,,,738315347.0,665988367.8599999,641116269.1600001,591230716.84,508169279.32999986,2026-08-23 08:44:54
Ranking Sectores,EDUCACION,,,ACTIVIDAD,,,,,15745858013.0,13992404042.749973,12755178815.839989,9905446624.070194,9041840746.420208,2026-08-23 08:44:54
Ranking Sectores,EDUCACION,,,PROYECTO,,,,,2007065871.0,1588019053.6599994,1415728888.0799992,1208913244.1299999,1023700454.22,2026-08-23 08:44:54
Ranking Sectores,FUERO MILITAR POLICIAL,,,ACTIVIDAD,,,,,20394018.0,19334644.09,19329839.229999997,13479667.529999994,11876568.019999996,2026-08-23 08:44:54
Ranking Sectores,INTERIOR,,,ACTIVIDAD,,,,,14538655009.0,14267500319.14,13785030009.94,9592932479.700006,9408653620.820015,2026-08-23 08:44:54
Ranking Sectores,INTERIOR,,,PROYECTO,,,,,547566440.0,518998097.9999998,390016534.62,300072338.55999994,249041401.15000004,2026-08-23 08:44:54
Ranking Sectores,JUNTA NACIONAL DE JUSTICIA,,,ACTIVIDAD,,,,,50036781.0,42161570.17000001,41385836.610000014,28368111.170000017,25188694.010000024,2026-08-23 08:44:54
Ranking Sectores,JUNTA NACIONAL DE JUSTICIA,,,PROYECTO,,,,,4440118.0,3749682.06,2716994.12,2716994.12,2159083.69,2026-08-23 08:44:54
Ranking Sectores,JURADO NACIONAL DE ELECCIONES,,,ACTIVIDAD,,,,,706078223.0,622767766.9999999,595860817.53,533150906.8100002,411395435.48000014,2026-08-23 08:44:54
Ranking Sectores,JUSTICIA,,,ACTIVIDAD,,,,,2121455265.0,2064419227.9800022,2018935522.3999991,1404931405.7699957,1312410967.2699955,2026-08-23 08:44:54
Ranking Sectores,JUSTICIA,,,PROYECTO,,,,,204408535.0,182259719.47000003,172370484.73999995,168134755.98,102425029.96999998,2026-08-23 08:44:54
Ranking Sectores,MINISTERIO PUBLICO,,,ACTIVIDAD,,,,,2903196462.0,2882115692.8600006,2766606600.4300027,2073674586.0499904,1970810045.1799886,2026-08-23 08:44:54
Ranking Sectores,MINISTERIO PUBLICO,,,PROYECTO,,,,,51482587.0,41095424.94,20551747.57,14772437.89,9756801.009999998,2026-08-23 08:44:54
Ranking Sectores,MUJER Y POBLACIONES VULNERABLES,,,ACTIVIDAD,,,,,1085532485.0,1039470333.8899994,1028583225.7699999,726518676.2599964,676072850.9499949,2026-08-23 08:44:54
Ranking Sectores,MUJER Y POBLACIONES VULNERABLES,,,PROYECTO,,,,,14840868.0,14840856.000000004,14521160.85,14180223.540000003,8078319.489999999,2026-08-23 08:44:54
Ranking Sectores,OFICINA NACIONAL DE PROCESOS ELECTORALES,,,ACTIVIDAD,,,,,2109743816.0,1779813407.6600008,1552374329.9100006,1490636198.7499993,1162149903.9699988,2026-08-23 08:44:54
Ranking Sectores,PODER JUDICIAL,,,ACTIVIDAD,,,,,3872745535.0,3830617129.9300013,3754702989.43,2424576122.110008,2367438383.90001,2026-08-23 08:44:54
Ranking Sectores,PODER JUDICIAL,,,PROYECTO,,,,,150098237.0,86257856.46,71677954.78000002,71080479.34,21387331.34,2026-08-23 08:44:54
Ranking Sectores,PRESIDENCIA CONSEJO MINISTROS,,,ACTIVIDAD,,,,,3546913031.0,3341013677.150001,3161808578.6999984,2732546041.2600193,2270500128.7900085,2026-08-23 08:44:54
Ranking Sectores,PRESIDENCIA CONSEJO MINISTROS,,,PROYECTO,,,,,3331551608.0,3122099853.2299995,3101130031.0099993,2240644884.4499993,2177052913.74,2026-08-23 08:44:54
Ranking Sectores,PRODUCCION,,,ACTIVIDAD,,,,,689800813.0,645604282.7300003,610943217.86,501308790.8199989,446050936.1099983,2026-08-23 08:44:54
Ranking Sectores,PRODUCCION,,,PROYECTO,,,,,99664052.0,93511499.10000002,85947472.64,81192128.53999999,55647119.440000005,2026-08-23 08:44:54
Ranking Sectores,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,,,ACTIVIDAD,,,,,561800407.0,512197387.2699996,501769314.2999996,411712116.7099999,318489031.4699999,2026-08-23 08:44:54
Ranking Sectores,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,,,PROYECTO,,,,,6929626.0,4004260.09,3997041.6799999997,3655957.95,3246291.0500000003,2026-08-23 08:44:54
Ranking Sectores,RELACIONES EXTERIORES,,,ACTIVIDAD,,,,,1174764458.0,1124356161.0299997,1102159269.17,889721423.4999998,792782421.58,2026-08-23 08:44:54
Ranking Sectores,RELACIONES EXTERIORES,,,PROYECTO,,,,,14830954.0,14701779.68,14609887.66,10014436.02,7818826.11,2026-08-23 08:44:54
Ranking Sectores,SALUD,,,ACTIVIDAD,,,,,13144226158.0,11727515699.270002,11119255958.449999,9181579917.130154,8434184904.250149,2026-08-23 08:44:54
Ranking Sectores,SALUD,,,PROYECTO,,,,,1625261377.0,1578764538.2,1417838359.0500002,1375852107.12,1130888251.94,2026-08-23 08:44:54
Ranking Sectores,TRABAJO Y PROMOCION DEL EMPLEO,,,ACTIVIDAD,,,,,890390327.0,875043769.8499994,684237210.1200002,549531046.8999983,486068283.5399982,2026-08-23 08:44:54
Ranking Sectores,TRABAJO Y PROMOCION DEL EMPLEO,,,PROYECTO,,,,,8800220.0,6807771.79,6243386.879999999,5686286.88,3213648.95,2026-08-23 08:44:54
Ranking Sectores,TRANSPORTES Y COMUNICACIONES,,,PROYECTO,,,,,6411888585.0,6194031389.240002,5987995226.679999,3903528855.679997,3780592048.3199987,2026-08-23 08:44:54
Ranking Sectores,TRANSPORTES Y COMUNICACIONES,,,ACTIVIDAD,,,,,4847864291.0,4557566922.319998,4134652095.839997,3050177520.0899997,2854705496.539998,2026-08-23 08:44:54
Ranking Sectores,TRIBUNAL CONSTITUCIONAL,,,ACTIVIDAD,,,,,59508488.0,54051229.06,53342314.84,36240852.03000001,34880156.800000004,2026-08-23 08:44:54
Ranking Sectores,VIVIENDA CONSTRUCCION Y SANEAMIENTO,,,ACTIVIDAD,,,,,2463842315.0,2319646904.0699997,2274427858.72,2123406748.110007,2036781581.2100058,2026-08-23 08:44:54
Ranking Sectores,VIVIENDA CONSTRUCCION Y SANEAMIENTO,,,PROYECTO,,,,,1815567186.0,1620850529.4,1534878553.3000004,1212638967.5599997,1013654301.1799998,2026-08-23 08:44:54
